"","pais","camara","porcentaje_mujeres","cuota_genero","edad_elegibilidad","integrante_mas_joven","numero_integrantes","iso_pais"
"1","Afghanistán","baja",NA,"Sí",25,NA,250,"afg"
"2","Afghanistán","alta",25,"No",35,35,68,"afg"
"3","Afghanistán","única",NA,NA,NA,NA,NA,"afg"
"4","Angola","baja",NA,NA,NA,NA,NA,"ago"
"5","Angola","alta",NA,NA,NA,NA,NA,"ago"
"6","Angola","única",30,"Sí",18,32,220,"ago"
"7","Albania","baja",NA,NA,NA,NA,NA,"alb"
"8","Albania","alta",NA,NA,NA,NA,NA,"alb"
"9","Albania","única",29.29,"Sí",18,30,140,"alb"
"10","Andorra","baja",NA,NA,NA,NA,NA,"and"
"11","Andorra","alta",NA,NA,NA,NA,NA,"and"
"12","Andorra","única",42.86,"No",18,25,28,"and"
"13","Emiratos Árabes Unidos","baja",NA,NA,NA,NA,NA,"are"
"14","Emiratos Árabes Unidos","alta",NA,NA,NA,NA,NA,"are"
"15","Emiratos Árabes Unidos","única",22.5,"No",25,37,40,"are"
"16","Argentina","baja",38.82,"Sí",25,28,255,"arg"
"17","Argentina","alta",41.67,"Sí",30,NA,72,"arg"
"18","Argentina","única",NA,NA,NA,NA,NA,"arg"
"19","Armenia","baja",NA,NA,NA,NA,NA,"arm"
"20","Armenia","alta",NA,NA,NA,NA,NA,"arm"
"21","Armenia","única",24.24,"Sí",25,30,132,"arm"
"22","Antigua y Barbuda","baja",11.11,"No",21,39,18,"atg"
"23","Antigua y Barbuda","alta",52.94,"No",21,33,17,"atg"
"24","Antigua y Barbuda","única",NA,NA,NA,NA,NA,"atg"
"25","Australia","baja",30,"Sí",18,23,150,"aus"
"26","Australia","alta",39.47,"Sí",18,30,76,"aus"
"27","Australia","única",NA,NA,NA,NA,NA,"aus"
"28","Austria","baja",37.16,"Sí",18,22,183,"aut"
"29","Austria","alta",36.07,"Sí",18,30,61,"aut"
"30","Austria","única",NA,NA,NA,NA,NA,"aut"
"31","Azerbaijan","baja",NA,NA,NA,NA,NA,"aze"
"32","Azerbaijan","alta",NA,NA,NA,NA,NA,"aze"
"33","Azerbaijan","única",16.81,"No",25,31,119,"aze"
"34","Burundi","baja",36.36,"Sí",25,29,121,"bdi"
"35","Burundi","alta",46.15,"Sí",35,35,39,"bdi"
"36","Burundi","única",NA,NA,NA,NA,NA,"bdi"
"37","Bélgica","baja",38,"Sí",18,26,150,"bel"
"38","Bélgica","alta",43.33,"No",18,26,60,"bel"
"39","Bélgica","única",NA,NA,NA,NA,NA,"bel"
"40","Benin","baja",NA,NA,NA,NA,NA,"ben"
"41","Benin","alta",NA,NA,NA,NA,NA,"ben"
"42","Benin","única",NA,"No",25,NA,83,"ben"
"43","Burkina Faso","baja",NA,NA,NA,NA,NA,"bfa"
"44","Burkina Faso","alta",NA,NA,NA,NA,NA,"bfa"
"45","Burkina Faso","única",13.39,"Sí",21,35,127,"bfa"
"46","Bangladesh","baja",NA,NA,NA,NA,NA,"bgd"
"47","Bangladesh","alta",NA,NA,NA,NA,NA,"bgd"
"48","Bangladesh","única",20.63,"No",25,29,349,"bgd"
"49","Bulgaria","baja",NA,NA,NA,NA,NA,"bgr"
"50","Bulgaria","alta",NA,NA,NA,NA,NA,"bgr"
"51","Bulgaria","única",25.83,"Sí",21,23,240,"bgr"
"52","Bahrain","baja",15,"No",30,NA,40,"bhr"
"53","Bahrain","alta",22.5,"No",35,NA,40,"bhr"
"54","Bahrain","única",NA,NA,NA,NA,NA,"bhr"
"55","Bahamas","baja",12.82,"No",21,22,39,"bhs"
"56","Bahamas","alta",43.75,"No",30,NA,16,"bhs"
"57","Bahamas","única",NA,NA,NA,NA,NA,"bhs"
"58","Bielorrusia","baja",34.55,"No",21,32,110,"blr"
"59","Bielorrusia","alta",30.36,"No",30,37,56,"blr"
"60","Bielorrusia","única",NA,NA,NA,NA,NA,"blr"
"61","Belize","baja",9.38,"No",18,NA,32,"blz"
"62","Belize","alta",15.38,"No",18,NA,13,"blz"
"63","Belize","única",NA,NA,NA,NA,NA,"blz"
"64","Brasil","baja",15.01,"Sí",21,22,513,"bra"
"65","Brasil","alta",14.81,"Sí",35,35,81,"bra"
"66","Brasil","única",NA,NA,NA,NA,NA,"bra"
"67","Barbados","baja",20,"No",21,NA,30,"brb"
"68","Barbados","alta",42.86,"No",21,NA,21,"brb"
"69","Barbados","única",NA,NA,NA,NA,NA,"brb"
"70","Brunei Darussalam","baja",NA,NA,NA,NA,NA,"brn"
"71","Brunei Darussalam","alta",NA,NA,NA,NA,NA,"brn"
"72","Brunei Darussalam","única",9.09,"No",21,29,33,"brn"
"73","Bhutan","baja",14.89,"No",25,27,47,"btn"
"74","Bhutan","alta",16,"No",25,26,25,"btn"
"75","Bhutan","única",NA,NA,NA,NA,NA,"btn"
"76","Botswana","baja",NA,NA,NA,NA,NA,"bwa"
"77","Botswana","alta",NA,NA,NA,NA,NA,"bwa"
"78","Botswana","única",9.52,"No",18,33,63,"bwa"
"79","Canadá","baja",26.95,"Sí",18,22,334,"can"
"80","Canadá","alta",46.67,"No",30,38,105,"can"
"81","Canadá","única",NA,NA,NA,NA,NA,"can"
"82","Suiza","baja",32.5,"Sí",18,26,200,"che"
"83","Suiza","alta",15.22,"Sí",NA,33,46,"che"
"84","Suiza","única",NA,NA,NA,NA,NA,"che"
"85","Chile","baja",22.58,"Sí",21,27,155,"chl"
"86","Chile","alta",23.26,"Sí",35,38,43,"chl"
"87","Chile","única",NA,NA,NA,NA,NA,"chl"
"88","China","baja",NA,NA,NA,NA,NA,"chn"
"89","China","alta",NA,NA,NA,NA,NA,"chn"
"90","China","única",24.94,"Sí",18,25,2975,"chn"
"91","Camerún","baja",31.11,"Sí",23,35,180,"cmr"
"92","Camerún","alta",26,"Sí",40,40,100,"cmr"
"93","Camerún","única",NA,NA,NA,NA,NA,"cmr"
"94","Congo","baja",11.26,"No",25,NA,151,"cog"
"95","Congo","alta",18.84,"No",45,NA,69,"cog"
"96","Congo","única",NA,NA,NA,NA,NA,"cog"
"97","Colombia","baja",18.71,"Sí",25,NA,171,"col"
"98","Colombia","alta",20.95,"Sí",30,NA,105,"col"
"99","Colombia","única",NA,NA,NA,NA,NA,"col"
"100","Comoros","baja",NA,NA,NA,NA,NA,"com"
"101","Comoros","alta",NA,NA,NA,NA,NA,"com"
"102","Comoros","única",6.06,"No",18,NA,33,"com"
"103","Costa Rica","baja",NA,NA,NA,NA,NA,"cri"
"104","Costa Rica","alta",NA,NA,NA,NA,NA,"cri"
"105","Costa Rica","única",45.61,"Sí",21,35,57,"cri"
"106","Cuba","baja",NA,NA,NA,NA,NA,"cub"
"107","Cuba","alta",NA,NA,NA,NA,NA,"cub"
"108","Cuba","única",53.22,"No",18,19,605,"cub"
"109","Chipre","baja",NA,NA,NA,NA,NA,"cyp"
"110","Chipre","alta",NA,NA,NA,NA,NA,"cyp"
"111","Chipre","única",17.86,"Sí",25,33,56,"cyp"
"112","Alemania","baja",30.89,"Sí",18,24,709,"deu"
"113","Alemania","alta",39.13,"No",18,NA,69,"deu"
"114","Alemania","única",NA,NA,NA,NA,NA,"deu"
"115","Djibouti","baja",NA,NA,NA,NA,NA,"dji"
"116","Djibouti","alta",NA,NA,NA,NA,NA,"dji"
"117","Djibouti","única",26.15,"Sí",23,27,65,"dji"
"118","Dominica","baja",NA,NA,NA,NA,NA,"dma"
"119","Dominica","alta",NA,NA,NA,NA,NA,"dma"
"120","Dominica","única",25,"No",21,NA,32,"dma"
"121","Dinamarca","baja",NA,NA,NA,NA,NA,"dnk"
"122","Dinamarca","alta",NA,NA,NA,NA,NA,"dnk"
"123","Dinamarca","única",37.43,"No",18,22,179,"dnk"
"124","Algeria","baja",25.76,"Sí",25,NA,462,"dza"
"125","Algeria","alta",6.82,"Sí",35,38,132,"dza"
"126","Algeria","única",NA,NA,NA,NA,NA,"dza"
"127","Ecuador","baja",NA,NA,NA,NA,NA,"ecu"
"128","Ecuador","alta",NA,NA,NA,NA,NA,"ecu"
"129","Ecuador","única",37.96,"Sí",18,NA,137,"ecu"
"130","Egipto","baja",NA,NA,NA,NA,NA,"egy"
"131","Egipto","alta",NA,NA,NA,NA,NA,"egy"
"132","Egipto","única",14.93,"Sí",25,25,596,"egy"
"133","Eritrea","baja",NA,NA,NA,NA,NA,"eri"
"134","Eritrea","alta",NA,NA,NA,NA,NA,"eri"
"135","Eritrea","única",22,"Sí",NA,NA,150,"eri"
"136","España","baja",NA,"Sí",18,NA,350,"esp"
"137","España","alta",NA,"Sí",18,NA,266,"esp"
"138","España","única",NA,NA,NA,NA,NA,"esp"
"139","Estonia","baja",NA,NA,NA,NA,NA,"est"
"140","Estonia","alta",NA,NA,NA,NA,NA,"est"
"141","Estonia","única",29.7,"No",21,28,101,"est"
"142","Etiopía","baja",38.76,"Sí",18,21,547,"eth"
"143","Etiopía","alta",32.03,"Sí",21,NA,153,"eth"
"144","Etiopía","única",NA,NA,NA,NA,NA,"eth"
"145","Finlandia","baja",NA,NA,NA,NA,NA,"fin"
"146","Finlandia","alta",NA,NA,NA,NA,NA,"fin"
"147","Finlandia","única",47,"No",18,24,200,"fin"
"148","Fiji","baja",NA,NA,NA,NA,NA,"fji"
"149","Fiji","alta",NA,NA,NA,NA,NA,"fji"
"150","Fiji","única",19.61,"No",18,30,51,"fji"
"151","Francia","baja",39.69,"Sí",18,23,577,"fra"
"152","Francia","alta",32.18,"Sí",24,38,348,"fra"
"153","Francia","única",NA,NA,NA,NA,NA,"fra"
"154","Gabon","baja",17.91,"No",21,NA,134,"gab"
"155","Gabon","alta",18,"No",40,NA,100,"gab"
"156","Gabon","única",NA,NA,NA,NA,NA,"gab"
